127.0.0.1 - - [10/Jan/2024:15:37:58 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:38:11 -0300] "OPTIONS /AGIS/turma HTTP/1.1" 200 5
127.0.0.1 - - [10/Jan/2024:15:38:11 -0300] "POST /AGIS/turma HTTP/1.1" 200 668
127.0.0.1 - - [10/Jan/2024:15:38:11 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 5274
127.0.0.1 - - [10/Jan/2024:15:39:34 -0300] "OPTIONS /AGIS/curso/10002 HTTP/1.1" 200 5
127.0.0.1 - - [10/Jan/2024:15:39:34 -0300] "DELETE /AGIS/curso/10002 HTTP/1.1" 404 21
127.0.0.1 - - [10/Jan/2024:15:39:49 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:39:49 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:39:49 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 5274
127.0.0.1 - - [10/Jan/2024:15:40:27 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:40:27 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:40:27 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 5274
127.0.0.1 - - [10/Jan/2024:15:40:31 -0300] "OPTIONS /AGIS/turma/10002 HTTP/1.1" 200 5
127.0.0.1 - - [10/Jan/2024:15:40:31 -0300] "DELETE /AGIS/turma/10002 HTTP/1.1" 200 151
127.0.0.1 - - [10/Jan/2024:15:40:31 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:40:49 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:40:49 -0300] "GET /AGIS/gradeCurricular HTTP/1.1" 200 174
127.0.0.1 - - [10/Jan/2024:15:40:52 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:40:52 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:40:52 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:40:56 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:40:56 -0300] "GET /AGIS/gradeCurricular HTTP/1.1" 200 174
127.0.0.1 - - [10/Jan/2024:15:41:08 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:41:08 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:41:08 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:41:09 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:41:09 -0300] "GET /AGIS/gradeCurricular HTTP/1.1" 200 174
127.0.0.1 - - [10/Jan/2024:15:41:13 -0300] "GET /AGIS/curso/1 HTTP/1.1" 200 130
127.0.0.1 - - [10/Jan/2024:15:41:13 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:41:14 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:41:14 -0300] "GET /AGIS/gradeCurricular HTTP/1.1" 200 174
127.0.0.1 - - [10/Jan/2024:15:41:19 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:41:20 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:41:20 -0300] "GET /AGIS/disciplina HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:41:22 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:41:27 -0300] "GET /AGIS/datas HTTP/1.1" 200 12
127.0.0.1 - - [10/Jan/2024:15:41:33 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:41:36 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:41:36 -0300] "GET /AGIS/gradeCurricular HTTP/1.1" 200 174
127.0.0.1 - - [10/Jan/2024:15:41:37 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:41:37 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:41:37 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
